NO2(GT),PT08.S4(NO2),T,RH,AH,Day,Month,Hour,Weekday
69.0,1651.0,19.9,51.8,1.1911,15,6,6,1
116.0,2319.0,20.9,49.3,1.2049,15,6,7,1
109.0,1763.0,28.8,29.1,1.1349,15,6,10,1
115.0,1928.0,30.3,26.9,1.1399,15,6,11,1
118.0,1863.0,32.8,23.3,1.138,15,6,12,1
118.0,1745.0,33.9,21.4,1.1135,15,6,13,1
137.0,1852.0,35.3,18.8,1.0572,15,6,16,1
148.0,1856.0,30.8,28.7,1.2507,15,6,18,1
127.0,1884.0,26.8,35.1,1.2201,15,6,20,1
109.0,1763.0,25.3,39.4,1.2524,15,6,21,1
114.0,1728.0,23.0,44.4,1.2354,15,6,23,1
104.0,1770.0,22.2,53.9,1.4237,16,6,0,2
81.0,1645.0,20.9,59.8,1.4659,16,6,1,2
51.0,1522.0,21.3,58.1,1.4569999999999999,16,6,2,2
40.0,1471.0,20.3,58.9,1.3878,16,6,4,2
34.0,1462.0,21.3,54.5,1.3682,16,6,5,2
61.0,1640.0,20.6,57.4,1.3753,16,6,6,2
95.0,2084.0,21.3,56.9,1.4226,16,6,7,2
142.0,2530.0,22.9,52.4,1.4442,16,6,8,2
115.0,1879.0,27.1,38.8,1.3705,16,6,10,2
85.0,1703.0,30.1,30.9,1.2958,16,6,12,2
110.0,1839.0,32.7,25.8,1.2547,16,6,13,2
107.0,1748.0,33.6,24.4,1.2472,16,6,15,2
125.0,1986.0,28.3,31.7,1.1968,16,6,19,2
139.0,1930.0,26.5,35.0,1.1981,16,6,20,2
107.0,1840.0,23.3,43.4,1.2251,16,6,22,2
98.0,1838.0,22.5,45.3,1.2226,16,6,23,2
97.0,1854.0,21.8,47.8,1.2325,17,6,0,3
95.0,1722.0,20.9,51.0,1.2446,17,6,1,3
51.0,1479.0,18.8,58.6,1.2581,17,6,4,3
44.0,1473.0,20.2,53.8,1.2569,17,6,5,3
100.0,2241.0,20.2,54.5,1.2777,17,6,7,3
125.0,2385.0,21.9,49.9,1.2957,17,6,8,3
154.0,2128.0,25.2,43.0,1.3548,17,6,9,3
125.0,1705.0,28.0,36.6,1.3603,17,6,10,3
105.0,1728.0,27.4,37.0,1.3319,17,6,12,3
103.0,1697.0,29.4,32.9,1.3244,17,6,13,3
106.0,1682.0,31.3,28.7,1.2885,17,6,14,3
102.0,1684.0,30.9,30.3,1.3306,17,6,16,3
125.0,1907.0,29.0,33.4,1.3169,17,6,19,3
94.0,1724.0,25.2,43.0,1.358,17,6,22,3
120.0,1983.0,24.6,45.8,1.3940000000000001,17,6,23,3
81.0,1592.0,23.5,48.3,1.3777,18,6,1,4
43.0,1467.0,24.0,45.8,1.3467,18,6,2,4
59.0,1598.0,20.4,54.1,1.28,18,6,6,4
92.0,1922.0,20.8,52.6,1.2758,18,6,7,4
151.0,2157.0,25.2,42.9,1.3552,18,6,9,4
141.0,1949.0,33.3,27.8,1.4013,18,6,11,4
129.0,1856.0,34.9,24.9,1.3630000000000002,18,6,12,4
147.0,1840.0,37.2,21.6,1.3514,18,6,16,4
180.0,1956.0,35.6,23.4,1.341,18,6,17,4
164.0,1834.0,33.1,24.3,1.2087,18,6,18,4
180.0,2043.0,30.5,29.5,1.2635,18,6,19,4
98.0,1796.0,25.2,46.6,1.4733,18,6,22,4
87.0,1731.0,24.4,47.4,1.4301,19,6,0,5
80.0,1604.0,23.3,49.9,1.4135,19,6,1,5
62.0,1528.0,23.8,47.3,1.3783,19,6,2,5
54.0,1511.0,21.2,55.0,1.3689,19,6,4,5
56.0,1472.0,21.7,52.6,1.35,19,6,5,5
72.0,1595.0,23.5,47.6,1.3611,19,6,7,5
86.0,1697.0,24.6,44.9,1.3661,19,6,8,5
98.0,1736.0,29.3,35.9,1.4411,19,6,10,5
102.0,1743.0,31.2,32.4,1.4517,19,6,11,5
84.0,1714.0,34.4,26.6,1.423,19,6,12,5
43.0,1463.0,18.2,57.6,1.193,21,6,5,0
64.0,1639.0,18.6,56.0,1.1865,21,6,6,0
91.0,1910.0,20.8,48.0,1.1702,21,6,7,0
109.0,2138.0,23.3,38.6,1.0919,21,6,8,0
110.0,1753.0,25.1,32.4,1.0170000000000001,21,6,9,0
111.0,1597.0,27.8,25.8,0.9473,21,6,10,0
106.0,1480.0,29.6,21.0,0.8548,21,6,11,0
104.0,1467.0,30.2,18.0,0.7613,21,6,12,0
76.0,1454.0,30.1,18.5,0.7747,21,6,13,0
84.0,1504.0,29.5,19.4,0.7872,21,6,14,0
102.0,1564.0,31.1,18.2,0.8079,21,6,15,0
124.0,1645.0,30.1,19.3,0.8083,21,6,17,0
147.0,1787.0,28.6,22.3,0.8590000000000001,21,6,18,0
126.0,1793.0,24.5,35.7,1.0807,21,6,20,0
112.0,1737.0,23.1,41.5,1.1582,21,6,21,0
80.0,1594.0,20.9,48.9,1.1945,21,6,23,0
79.0,1570.0,20.5,49.9,1.1903,22,6,0,1
49.0,1462.0,20.0,50.9,1.1794,22,6,1,1
36.0,1374.0,22.1,44.3,1.1665,22,6,2,1
40.0,1343.0,19.8,50.3,1.1444,22,6,4,1
37.0,1381.0,19.0,52.8,1.1489,22,6,5,1
67.0,1594.0,17.8,56.5,1.1375,22,6,6,1
106.0,2002.0,18.2,55.8,1.1529,22,6,7,1
134.0,2394.0,20.6,47.7,1.1448,22,6,8,1
123.0,1832.0,22.8,41.9,1.1496,22,6,9,1
136.0,1856.0,27.1,31.7,1.1147,22,6,10,1
109.0,1766.0,30.4,26.4,1.131,22,6,11,1
144.0,1940.0,31.1,26.2,1.1647,22,6,12,1
126.0,1772.0,30.8,26.7,1.168,22,6,14,1
120.0,1782.0,33.5,22.9,1.1649,22,6,16,1
145.0,2011.0,33.1,23.5,1.1673,22,6,17,1
139.0,2017.0,31.7,25.9,1.1883,22,6,18,1
148.0,2085.0,29.0,30.4,1.2013,22,6,19,1
93.0,1640.0,25.2,36.4,1.1528,22,6,21,1
104.0,1807.0,23.8,39.6,1.1558,22,6,23,1
83.0,1631.0,22.9,43.6,1.1974,23,6,0,2
40.0,1396.0,21.7,46.8,1.2031,23,6,5,2
51.0,1656.0,20.3,52.3,1.2367,23,6,6,2
117.0,2210.0,20.5,52.3,1.245,23,6,7,2
136.0,2090.0,24.0,43.1,1.2677,23,6,9,2
152.0,1944.0,28.5,31.7,1.2144,23,6,10,2
106.0,1762.0,34.9,20.5,1.1279,23,6,12,2
101.0,1711.0,35.4,19.9,1.1222,23,6,13,2
110.0,1786.0,34.4,22.5,1.205,23,6,14,2
124.0,1854.0,34.8,22.8,1.2488,23,6,15,2
137.0,1825.0,34.3,22.4,1.1907,23,6,16,2
163.0,2118.0,28.5,33.3,1.2775,23,6,20,2
121.0,1829.0,27.3,35.3,1.2606,23,6,21,2
120.0,2023.0,24.7,47.1,1.44,23,6,23,2
103.0,1978.0,23.6,59.8,1.7193,24,6,0,3
44.0,1645.0,23.3,59.4,1.6753,24,6,2,3
35.0,1528.0,23.7,53.5,1.546,24,6,4,3
54.0,1548.0,22.1,56.2,1.48,24,6,6,3
77.0,1750.0,24.7,45.9,1.4061,24,6,8,3
74.0,1649.0,27.0,40.8,1.4286,24,6,9,3
58.0,1561.0,31.9,30.3,1.4125,24,6,12,3
55.0,1576.0,32.8,28.9,1.412,24,6,13,3
65.0,1565.0,35.3,23.7,1.3331,24,6,15,3
89.0,1602.0,35.3,20.8,1.1664,24,6,17,3
103.0,1732.0,33.3,23.9,1.2085,24,6,18,3
128.0,1934.0,30.3,30.8,1.3044,24,6,19,3
125.0,2176.0,27.1,38.9,1.3758,24,6,21,3
119.0,1967.0,25.4,43.2,1.3805,24,6,22,3
126.0,2114.0,24.6,45.3,1.3767,24,6,23,3
94.0,1752.0,23.0,48.1,1.3322,25,6,1,4
52.0,1457.0,24.8,43.4,1.3366,25,6,2,4
64.0,1427.0,21.7,50.2,1.2917,25,6,4,4
88.0,1743.0,20.1,57.0,1.3216,25,6,6,4
104.0,1927.0,21.5,51.8,1.3129,25,6,7,4
125.0,1968.0,22.9,48.7,1.3416,25,6,8,4
113.0,1671.0,29.9,33.2,1.3793,25,6,10,4
102.0,1713.0,32.9,28.0,1.3789,25,6,11,4
93.0,1684.0,34.7,22.6,1.2297,25,6,13,4
89.0,1596.0,35.5,20.3,1.1586,25,6,14,4
129.0,1786.0,29.9,19.8,0.8211,25,6,19,4
137.0,1680.0,26.1,24.7,0.8233,25,6,21,4
130.0,1670.0,25.0,28.7,0.8944,25,6,22,4
121.0,1598.0,24.3,31.0,0.9268,25,6,23,4
79.0,1398.0,24.0,31.2,0.919,26,6,0,5
69.0,1390.0,22.4,34.9,0.9362,26,6,1,5
61.0,1382.0,21.2,37.6,0.9355,26,6,2,5
58.0,1321.0,21.2,39.4,0.9802,26,6,4,5
58.0,1314.0,19.5,42.4,0.9515,26,6,5,5
104.0,1680.0,19.7,44.1,1.0039,26,6,7,5
129.0,1791.0,24.5,34.3,1.0407,26,6,9,5
101.0,1508.0,34.5,18.9,1.0168,26,6,11,5
86.0,1523.0,37.7,16.0,1.0231,26,6,13,5
69.0,1446.0,38.3,15.8,1.0465,26,6,14,5
65.0,1481.0,38.4,17.5,1.1609,26,6,15,5
73.0,1567.0,34.0,26.4,1.3781,26,6,17,5
78.0,1599.0,32.3,30.4,1.445,26,6,18,5
98.0,1726.0,30.5,33.9,1.4564,26,6,19,5
99.0,1686.0,29.2,37.8,1.5098,26,6,20,5
83.0,1645.0,28.4,39.1,1.4881,26,6,21,5
88.0,1747.0,27.7,40.6,1.4828,26,6,22,5
117.0,1938.0,27.2,42.5,1.5069,26,6,23,5
97.0,1830.0,26.5,44.8,1.528,27,6,0,6
75.0,1750.0,25.5,47.6,1.5318,27,6,1,6
53.0,1638.0,25.2,47.8,1.5076,27,6,2,6
45.0,1522.0,23.2,52.3,1.4668,27,6,4,6
42.0,1490.0,24.0,50.3,1.4811,27,6,5,6
44.0,1496.0,23.5,51.2,1.4634,27,6,6,6
50.0,1511.0,23.5,50.8,1.452,27,6,7,6
110.0,1648.0,35.2,24.8,1.3854,27,6,11,6
50.0,1339.0,41.3,12.8,0.9933,27,6,14,6
54.0,1294.0,41.8,11.9,0.9476,27,6,15,6
90.0,1488.0,42.2,14.2,1.1609,27,6,16,6
110.0,1609.0,38.9,21.4,1.4605,27,6,18,6
103.0,1685.0,34.3,26.0,1.3865,27,6,19,6
120.0,1695.0,32.7,27.7,1.3439,27,6,20,6
137.0,1751.0,29.0,33.6,1.3277,27,6,22,6
78.0,1616.0,27.2,38.9,1.3821,28,6,0,0
41.0,1444.0,26.0,41.2,1.3598,28,6,2,0
39.0,1438.0,24.0,46.6,1.37,28,6,4,0
60.0,1447.0,24.0,46.4,1.3689,28,6,5,0
119.0,2172.0,23.6,47.3,1.3634,28,6,7,0
159.0,2568.0,25.5,43.1,1.3891,28,6,8,0
182.0,2199.0,28.5,36.8,1.4128,28,6,9,0
144.0,1795.0,36.3,23.4,1.3902,28,6,11,0
118.0,1748.0,37.5,21.5,1.3673,28,6,12,0
106.0,1773.0,39.6,19.0,1.3447,28,6,13,0
97.0,1739.0,40.1,19.3,1.4013,28,6,14,0
129.0,1820.0,40.4,20.0,1.4854,28,6,15,0
163.0,1905.0,39.1,19.6,1.3542,28,6,17,0
160.0,2023.0,37.0,21.9,1.3503,28,6,18,0
115.0,1912.0,31.9,30.6,1.4201,28,6,20,0
92.0,1760.0,29.7,33.9,1.3874,28,6,21,0
99.0,1786.0,28.6,36.8,1.416,28,6,22,0
96.0,1790.0,27.8,38.7,1.4187,28,6,23,0
80.0,1748.0,27.8,40.0,1.4691,29,6,0,1
65.0,1592.0,27.5,41.3,1.4962,29,6,1,1
46.0,1534.0,27.3,41.6,1.4906,29,6,2,1
57.0,1519.0,24.8,48.0,1.4857,29,6,4,1
54.0,1504.0,25.9,45.1,1.4889,29,6,5,1
62.0,1634.0,25.3,47.6,1.5108,29,6,6,1
102.0,2316.0,24.7,49.5,1.5201,29,6,7,1
121.0,1963.0,28.3,39.8,1.5053,29,6,9,1
132.0,1968.0,32.4,32.3,1.5484,29,6,10,1
122.0,1870.0,35.4,27.8,1.5733,29,6,11,1
148.0,1955.0,35.5,27.4,1.5635,29,6,12,1
133.0,1963.0,37.8,24.4,1.5722,29,6,13,1
130.0,1825.0,37.2,25.5,1.5914,29,6,14,1
141.0,1912.0,37.2,25.6,1.6014,29,6,15,1
172.0,2040.0,38.0,25.0,1.6312,29,6,16,1
181.0,2268.0,36.9,27.8,1.7099,29,6,18,1
202.0,2332.0,34.7,31.9,1.7325,29,6,19,1
120.0,1979.0,31.9,38.4,1.7897,29,6,20,1
115.0,1994.0,30.5,42.3,1.8173,29,6,21,1
112.0,1929.0,29.3,45.8,1.8362,29,6,22,1
97.0,1985.0,28.2,48.1,1.8144,29,6,23,1
44.0,1683.0,26.0,54.9,1.8141,30,6,2,2
42.0,1558.0,26.9,51.8,1.805,30,6,4,2
57.0,1656.0,24.6,59.1,1.8013,30,6,5,2
61.0,1738.0,26.4,53.1,1.7987,30,6,6,2
106.0,1992.0,27.3,46.4,1.6542,30,6,7,2
190.0,1920.0,37.0,26.5,1.6352,30,6,11,2
152.0,1810.0,39.3,22.2,1.5519999999999998,30,6,14,2
168.0,1765.0,39.7,20.4,1.4594,30,6,16,2
226.0,2250.0,38.8,24.2,1.6433,30,6,17,2
207.0,2485.0,33.5,38.0,1.939,30,6,18,2
197.0,2205.0,34.0,32.9,1.7251,30,6,19,2
158.0,2040.0,31.9,33.7,1.5663,30,6,20,2
110.0,1941.0,28.9,41.0,1.6096,30,6,22,2
112.0,1921.0,27.8,45.2,1.6604,30,6,23,2
102.0,1874.0,27.1,47.4,1.6701,1,7,0,2
77.0,1800.0,26.2,49.4,1.6555,1,7,1,2
50.0,1607.0,26.9,49.3,1.7196,1,7,2,2
40.0,1568.0,24.9,54.6,1.6908,1,7,4,2
66.0,1685.0,23.4,58.6,1.6651,1,7,5,2
60.0,1711.0,24.4,55.2,1.6604,1,7,6,2
120.0,2337.0,26.6,51.2,1.7565,1,7,8,2
149.0,1942.0,31.6,39.4,1.7969,1,7,10,2
125.0,1805.0,34.2,31.8,1.6837,1,7,11,2
132.0,1940.0,36.6,27.1,1.6352,1,7,12,2
114.0,1842.0,37.6,26.9,1.715,1,7,13,2
121.0,1814.0,37.8,26.9,1.7392,1,7,15,2
127.0,1730.0,37.8,22.7,1.4653,1,7,16,2
157.0,1949.0,36.9,24.7,1.5134,1,7,17,2
179.0,2168.0,32.5,30.9,1.4875,1,7,19,2
112.0,1779.0,27.7,39.3,1.4372,1,7,22,2
105.0,1862.0,26.1,45.3,1.5115,2,7,0,5
54.0,1513.0,25.3,47.2,1.5025,2,7,4,5
61.0,1500.0,25.1,48.0,1.5115,2,7,5,5
63.0,1629.0,24.8,50.6,1.5654,2,7,6,5
102.0,2077.0,25.7,49.7,1.615,2,7,7,5
149.0,2559.0,27.4,45.5,1.6396,2,7,8,5
158.0,1952.0,33.6,28.7,1.4693,2,7,10,5
112.0,1745.0,34.6,27.7,1.4991,2,7,11,5
108.0,1810.0,35.6,27.2,1.5557,2,7,12,5
120.0,1771.0,36.9,23.3,1.4313,2,7,13,5
117.0,1732.0,38.8,20.7,1.4036,2,7,14,5
174.0,1647.0,34.8,19.3,1.0543,2,7,17,5
163.0,1691.0,33.6,20.7,1.0590000000000002,2,7,18,5
161.0,1729.0,31.4,18.5,0.8376,2,7,19,5
154.0,1688.0,29.5,23.8,0.9623,2,7,20,5
124.0,1588.0,27.4,27.1,0.9736,2,7,21,5
119.0,1643.0,25.5,34.0,1.0935,2,7,23,5
131.0,1738.0,24.0,37.8,1.1125,3,7,0,6
84.0,1528.0,24.2,37.3,1.1118,3,7,1,6
68.0,1479.0,20.2,50.7,1.1844,3,7,5,6
101.0,1743.0,21.4,48.0,1.2086,3,7,7,6
120.0,1885.0,23.2,43.9,1.2344,3,7,8,6
124.0,1725.0,25.3,40.7,1.2921,3,7,9,6
113.0,1669.0,29.9,31.1,1.2883,3,7,10,6
97.0,1536.0,33.9,21.3,1.1067,3,7,11,6
94.0,1550.0,36.3,16.0,0.9465,3,7,12,6
86.0,1436.0,36.6,15.2,0.9177,3,7,13,6
70.0,1391.0,37.9,15.0,0.9721,3,7,15,6
82.0,1479.0,38.0,16.8,1.0933,3,7,16,6
93.0,1524.0,36.9,17.5,1.0789,3,7,17,6
89.0,1454.0,35.3,17.0,0.9561,3,7,18,6
67.0,1537.0,29.1,29.6,1.1792,3,7,20,6
109.0,1726.0,26.7,35.8,1.2318,3,7,22,6
103.0,1710.0,25.2,42.7,1.3473,3,7,23,6
101.0,1840.0,24.0,51.9,1.5252,4,7,0,2
71.0,1585.0,24.5,44.4,1.3476,4,7,1,2
71.0,1639.0,22.6,51.0,1.3805,4,7,2,2
44.0,1559.0,21.3,56.7,1.4178,4,7,6,2
42.0,1573.0,23.0,54.6,1.5177,4,7,7,2
65.0,1634.0,25.4,49.3,1.5732,4,7,9,2
68.0,1606.0,29.6,37.7,1.544,4,7,10,2
58.0,1543.0,33.9,26.2,1.3664,4,7,11,2
46.0,1394.0,37.9,18.8,1.222,4,7,13,2
47.0,1307.0,39.3,14.5,1.0149,4,7,15,2
103.0,1541.0,32.3,19.7,0.9345,4,7,19,2
97.0,1541.0,30.1,23.5,0.9869,4,7,20,2
108.0,1631.0,28.2,28.7,1.0806,4,7,21,2
104.0,1656.0,25.3,39.2,1.2452,4,7,23,2
55.0,1412.0,25.5,35.7,1.1499,5,7,1,4
56.0,1422.0,19.7,51.4,1.1688,5,7,4,4
43.0,1387.0,21.6,45.7,1.1665,5,7,5,4
57.0,1521.0,21.1,47.3,1.1654,5,7,6,4
80.0,1815.0,21.6,44.1,1.1269,5,7,7,4
134.0,2311.0,23.7,37.9,1.0988,5,7,8,4
157.0,1901.0,26.0,30.1,0.9953,5,7,9,4
147.0,1638.0,34.1,19.1,1.0048,5,7,11,4
140.0,1633.0,36.2,18.0,1.0636,5,7,12,4
137.0,1641.0,37.4,17.3,1.0914,5,7,13,4
132.0,1624.0,40.1,16.1,1.1699,5,7,16,4
174.0,1942.0,39.3,18.9,1.3251,5,7,17,4
203.0,2072.0,37.3,19.9,1.2437,5,7,18,4
125.0,1768.0,30.7,28.9,1.2501,5,7,20,4
98.0,1684.0,28.8,32.8,1.2776,5,7,21,4
104.0,1674.0,26.2,39.7,1.3249,5,7,23,4
105.0,1694.0,25.4,43.0,1.37,6,7,0,0
75.0,1497.0,25.8,41.0,1.3461,6,7,1,0
60.0,1510.0,23.3,48.4,1.3677,6,7,2,0
36.0,1410.0,23.5,46.7,1.3361,6,7,4,0
145.0,2460.0,24.9,43.3,1.3422,6,7,8,0
162.0,1954.0,26.7,39.4,1.3556,6,7,9,0
147.0,1835.0,30.5,32.9,1.4135,6,7,10,0
132.0,1818.0,34.2,27.2,1.4404,6,7,11,0
132.0,1622.0,39.9,15.8,1.141,6,7,14,0
151.0,1604.0,40.2,13.9,1.02,6,7,15,0
192.0,1845.0,39.5,12.6,0.8894,6,7,17,0
194.0,1946.0,37.9,13.9,0.9015,6,7,18,0
159.0,1975.0,32.6,20.6,0.9939,6,7,20,0
125.0,1717.0,30.4,23.2,0.9889,6,7,21,0
108.0,1668.0,28.8,25.1,0.9793,6,7,22,0
95.0,1609.0,26.3,33.7,1.1377,7,7,1,2
69.0,1463.0,25.7,33.9,1.1065,7,7,2,2
53.0,1432.0,24.0,37.8,1.1077,7,7,5,2
88.0,1673.0,23.9,39.3,1.1522,7,7,6,2
136.0,2305.0,24.8,38.4,1.1808,7,7,7,2
166.0,1707.0,34.6,21.1,1.1398,7,7,10,2
154.0,1623.0,38.3,17.0,1.1216,7,7,11,2
149.0,1640.0,40.4,14.5,1.0736,7,7,12,2
142.0,1683.0,42.6,9.6,0.8012,7,7,13,2
130.0,1629.0,42.5,10.2,0.8478,7,7,14,2
121.0,1555.0,41.0,11.6,0.8872,7,7,15,2
116.0,1546.0,41.3,13.0,1.0154,7,7,16,2
177.0,1925.0,39.2,14.5,1.0106,7,7,17,2
233.0,1903.0,36.9,17.9,1.0959999999999999,7,7,18,2
223.0,2199.0,35.6,20.4,1.1646,7,7,19,2
184.0,2005.0,33.7,22.6,1.1658,7,7,20,2
165.0,2017.0,31.5,27.8,1.2671,7,7,21,2
132.0,1880.0,31.1,29.3,1.3055,7,7,22,2
122.0,1827.0,30.2,30.9,1.3026,7,7,23,2
88.0,1627.0,29.8,30.2,1.2502,8,7,0,5
74.0,1503.0,25.6,38.8,1.2545,8,7,5,5
62.0,1511.0,27.5,34.6,1.2518,8,7,6,5
115.0,1914.0,25.9,37.4,1.2289,8,7,7,5
155.0,1919.0,29.5,32.7,1.3229,8,7,9,5
162.0,1903.0,29.8,33.1,1.3693,8,7,10,5
189.0,1934.0,33.4,26.8,1.3586,8,7,11,5
115.0,1538.0,40.3,15.8,1.1604,8,7,12,5
109.0,1525.0,41.8,15.0,1.1989,8,7,13,5
108.0,1609.0,41.1,15.7,1.2071,8,7,14,5
167.0,1807.0,40.9,14.6,1.114,8,7,16,5
200.0,1891.0,39.1,16.9,1.1705,8,7,17,5
178.0,2021.0,36.4,27.3,1.6308,8,7,18,5
206.0,2371.0,34.9,29.3,1.611,8,7,19,5
137.0,1900.0,32.2,27.6,1.3044,8,7,21,5
128.0,1834.0,30.5,29.7,1.2742,8,7,22,5
121.0,1934.0,29.4,35.6,1.4383,8,7,23,5
136.0,1996.0,29.1,34.8,1.38,9,7,0,1
74.0,1585.0,27.9,41.6,1.5425,9,7,2,1
40.0,1432.0,27.4,42.2,1.5177,9,7,4,1
83.0,1636.0,26.9,40.3,1.4041,9,7,6,1
129.0,1989.0,27.0,37.3,1.3081,9,7,7,1
115.0,1640.0,27.4,32.0,1.1545,9,7,9,1
130.0,1527.0,30.5,24.7,1.0592,9,7,10,1
137.0,1546.0,32.9,20.1,0.9902,9,7,11,1
116.0,1544.0,33.9,18.4,0.9587,9,7,12,1
129.0,1545.0,34.4,19.3,1.0325,9,7,13,1
139.0,1554.0,32.4,19.1,0.915,9,7,16,1
180.0,1602.0,32.2,17.1,0.8124,9,7,17,1
158.0,1738.0,28.3,24.9,0.9412,9,7,19,1
162.0,1672.0,26.6,30.2,1.033,9,7,20,1
112.0,1614.0,24.8,36.8,1.1357,9,7,21,1
104.0,1648.0,23.7,43.4,1.2495,9,7,22,1
125.0,1719.0,23.0,46.2,1.2815,9,7,23,1
127.0,1792.0,22.7,47.7,1.2977,10,7,0,3
70.0,1539.0,21.6,51.9,1.3254,10,7,2,3
33.0,1406.0,22.4,49.7,1.3333,10,7,4,3
45.0,1475.0,21.7,52.0,1.3313,10,7,5,3
74.0,1551.0,22.0,51.0,1.3296,10,7,7,3
84.0,1572.0,25.0,41.6,1.301,10,7,8,3
93.0,1612.0,26.7,36.4,1.2596,10,7,9,3
83.0,1473.0,31.2,23.4,1.0487,10,7,11,3
71.0,1416.0,32.4,20.5,0.9806,10,7,12,3
78.0,1409.0,33.3,19.2,0.9634,10,7,13,3
62.0,1323.0,33.1,16.8,0.8391,10,7,14,3
69.0,1328.0,31.8,18.7,0.8624,10,7,17,3
77.0,1559.0,26.1,33.7,1.1228,10,7,20,3
94.0,1551.0,24.7,38.8,1.1929,10,7,21,3
97.0,1588.0,23.4,43.2,1.229,10,7,22,3
110.0,1682.0,23.1,44.2,1.2317,10,7,23,3
116.0,1713.0,22.7,45.3,1.2299,11,7,0,6
51.0,1423.0,22.0,45.8,1.1965,11,7,2,6
36.0,1385.0,20.6,50.6,1.2119,11,7,5,6
35.0,1369.0,21.3,48.8,1.2189,11,7,6,6
48.0,1427.0,20.4,52.6,1.247,11,7,7,6
38.0,1402.0,23.5,44.0,1.2596,11,7,8,6
54.0,1442.0,25.7,37.9,1.2334,11,7,9,6
57.0,1486.0,27.9,33.6,1.2433,11,7,10,6
54.0,1380.0,29.0,28.3,1.1116,11,7,11,6
46.0,1371.0,29.5,25.9,1.0489,11,7,12,6
36.0,1321.0,31.8,22.3,1.0366,11,7,13,6
19.0,1272.0,32.2,20.0,0.9488,11,7,14,6
63.0,1327.0,33.0,17.7,0.8758,11,7,16,6
86.0,1359.0,32.0,19.8,0.9273,11,7,17,6
65.0,1347.0,29.6,24.1,0.9831,11,7,18,6
116.0,1565.0,25.3,30.9,0.9815,11,7,20,6
124.0,1651.0,24.2,35.9,1.0684,11,7,21,6
108.0,1615.0,22.7,43.9,1.1962,11,7,23,6
82.0,1550.0,21.6,44.0,1.1244,12,7,0,1
22.0,1323.0,21.2,46.2,1.1482,12,7,2,1
43.0,1423.0,20.0,51.8,1.1967,12,7,5,1
112.0,1945.0,21.3,49.7,1.2452,12,7,8,1
104.0,1586.0,21.7,46.3,1.1867,12,7,9,1
107.0,1496.0,23.4,39.4,1.1172,12,7,10,1
80.0,1550.0,24.2,36.9,1.0966,12,7,14,1
72.0,1514.0,26.0,34.9,1.1509,12,7,15,1
106.0,1551.0,24.8,33.1,1.0222,12,7,16,1
119.0,1762.0,24.0,36.3,1.0708,12,7,17,1
128.0,1797.0,23.6,35.7,1.0282,12,7,19,1
95.0,1488.0,22.5,36.8,0.988,12,7,21,1
85.0,1414.0,21.3,38.7,0.9686,12,7,22,1
50.0,1353.0,18.4,53.4,1.117,13,7,2,1
42.0,1365.0,16.6,56.8,1.0629,13,7,5,1
62.0,1528.0,16.2,57.4,1.0515,13,7,6,1
111.0,2120.0,17.3,54.3,1.0631,13,7,7,1
139.0,1656.0,26.4,29.9,1.0138,13,7,10,1
112.0,1469.0,34.5,13.3,0.7158,13,7,13,1
72.0,1339.0,30.1,19.4,0.8157,13,7,15,1
126.0,1635.0,31.9,18.3,0.8523,13,7,17,1
154.0,1840.0,32.0,20.1,0.9364,13,7,18,1
173.0,2092.0,28.9,24.1,0.9495,13,7,19,1
162.0,1884.0,27.3,27.1,0.9670000000000001,13,7,20,1
128.0,1666.0,26.0,28.5,0.9484,13,7,21,1
120.0,1592.0,25.2,28.6,0.9008,13,7,22,1
111.0,1585.0,24.3,31.1,0.9316,13,7,23,1
69.0,1448.0,23.0,33.8,0.9406,14,7,1,2
59.0,1334.0,20.5,42.3,1.0091,14,7,4,2
73.0,1444.0,18.8,49.0,1.0505,14,7,5,2
89.0,1616.0,18.8,49.4,1.0624,14,7,6,2
142.0,2194.0,19.9,46.5,1.071,14,7,7,2
145.0,2357.0,22.1,41.7,1.0979999999999999,14,7,8,2
156.0,1913.0,24.0,36.4,1.0706,14,7,9,2
148.0,1717.0,30.2,22.8,0.9616,14,7,10,2
122.0,1523.0,33.4,17.1,0.8627,14,7,11,2
106.0,1547.0,35.1,15.0,0.8381,14,7,12,2
127.0,1612.0,35.7,13.6,0.7836,14,7,14,2
113.0,1539.0,35.3,13.8,0.7767,14,7,15,2
136.0,1496.0,32.3,16.7,0.7946,14,7,16,2
190.0,1901.0,32.3,18.4,0.8753,14,7,19,2
160.0,1705.0,29.7,25.0,1.0246,14,7,20,2
123.0,1552.0,26.3,27.3,0.9238,14,7,22,2
101.0,1488.0,25.3,30.0,0.9508,14,7,23,2
116.0,1631.0,24.0,34.9,1.0271,15,7,0,3
80.0,1566.0,23.4,38.6,1.0968,15,7,1,3
51.0,1355.0,23.5,38.3,1.0972,15,7,2,3
37.0,1303.0,21.6,44.0,1.1225,15,7,4,3
46.0,1342.0,21.4,45.6,1.1493,15,7,5,3
108.0,1827.0,21.3,48.4,1.2119,15,7,7,3
151.0,2239.0,22.9,47.9,1.3208,15,7,8,3
116.0,1665.0,27.6,38.0,1.3818,15,7,10,3
131.0,1619.0,35.7,18.9,1.0865,15,7,13,3
152.0,1694.0,36.5,18.1,1.0887,15,7,16,3
198.0,1886.0,35.5,19.1,1.0888,15,7,17,3
